booking_id,passenger_id,flight_id,booking_date,status,seat_number,passport_hash,emergency_contact_phone_masked
B1000,P1591,AI192,2025-06-14 11:37:36.951,CANCELLED,3D,50cb38b0cfcc8496,XXXXXX5128
B1001,P1803,6F026,2025-11-02 11:37:36.951,CANCELLED,18A,e6a00ecf8549349c,XXXXXX8662
B1002,P1083,SJ010,2025-08-25 11:37:36.951,CANCELLED,30C,11e59a6a94bd8174,XXXXXX8220
B1003,P1364,AI069,2025-12-30 11:37:36.951,CONFIRMED,33A,befcdb739ed6246e,XXXXXX6839
B1004,P1885,UK003,2025-10-02 11:37:36.951,PENDING,25C,c1d412afedd9dca0,XXXXXX8266
B1005,P1548,AI048,2025-08-31 11:37:36.951,CONFIRMED,13D,dec6f181709a0599,XXXXXX2726
B1006,P1341,AI140,2025-06-29 11:37:36.951,CANCELLED,17F,6d2a079f55c1882f,XXXXXX7864
B1007,P1838,UK167,2026-03-12 11:37:36.951,CONFIRMED,22E,0689df317f67c53a,XXXXXX5776
B1008,P1406,AI245,2025-09-07 11:37:36.951,PENDING,34F,2cbfd64773848c8f,XXXXXX8807
B1009,P1424,SJ158,2025-04-28 11:37:36.951,CANCELLED,33C,947c519d006ec789,XXXXXX6278
B1010,P1743,AI155,2025-11-24 11:37:36.951,CONFIRMED,15B,3651fd5fa6d7eddf,XXXXXX9414
B1011,P1092,AI179,2025-10-25 11:37:36.951,CONFIRMED,22C,f7bed5b79a51322f,XXXXXX6153
B1012,P1847,AI137,2025-08-15 11:37:36.951,PENDING,28B,2837c782aa6678da,XXXXXX6860
B1013,P1613,SJ001,2025-07-20 11:37:36.951,CONFIRMED,26E,4c7144045e5f8e80,XXXXXX6561
B1014,P1411,SJ172,2025-09-15 11:37:36.951,PENDING,21E,d2920bd00176db11,XXXXXX9979
B1015,P1431,UK094,2025-10-21 11:37:36.951,UNKNOWN,6F,9048d6b4de32664f,XXXXXX5012
B1016,P1677,UK027,2026-01-13 11:37:36.951,CANCELLED,6A,8cddb68837ca39e2,XXXXXX0204
B1017,P1158,UK067,2026-04-04 11:37:36.951,CONFIRMED,13B,3bc3f45ccb72b39b,XXXXXX8257
B1018,P1013,6F196,2026-03-25 11:37:36.951,CANCELLED,19B,2ec5b8dbed1160b7,XXXXXX0106
B1019,P1372,6F164,2025-07-31 11:37:36.951,CANCELLED,19A,b091c2e95251f012,XXXXXX0835
B1020,P1224,SJ112,2025-12-06 11:37:36.951,CONFIRMED,27B,09b478aaf8bcacea,XXXXXX6249
B1021,P1504,6F190,2025-12-07 11:37:36.951,CANCELLED,4E,2fa0a80216e9577a,XXXXXX0161
B1022,P1072,AI080,2026-03-25 11:37:36.951,CONFIRMED,16F,06fbbdf6ec273729,XXXXXX7221
B1023,P1248,6F213,2026-02-03 11:37:36.951,PENDING,24B,273db990725f848e,XXXXXX9325
B1024,P1510,AI115,2025-06-21 11:37:36.951,PENDING,30F,3e2183bee5f4f159,XXXXXX8072
B1025,P1602,SJ049,2026-03-18 11:37:36.951,PENDING,1B,cf71de76556fada2,XXXXXX2966
B1026,P1215,AI058,2025-06-27 11:37:36.951,CONFIRMED,32C,6ba5d48c06d73bbe,XXXXXX6345
B1027,P1972,UK036,2025-07-25 11:37:36.951,CONFIRMED,22A,437001f8a7397eac,XXXXXX0795
B1028,P1601,SJ239,2025-05-25 11:37:36.951,CANCELLED,26E,5c05585357e6cafd,XXXXXX0757
B1029,P1540,6F025,2025-06-06 11:37:36.951,CANCELLED,19C,21d53f91af358179,XXXXXX4016
B1030,P1946,6F236,2026-03-18 11:37:36.951,CANCELLED,21E,c57db3c71f17ce15,XXXXXX1429
B1031,P1816,AI060,2025-11-16 11:37:36.951,CANCELLED,1E,f4af6827d0aaea2a,XXXXXX3949
B1032,P1938,UK021,2025-09-03 11:37:36.951,CANCELLED,18E,1d40d879be52e004,XXXXXX8599
B1033,P1987,UK026,2025-05-06 11:37:36.951,UNKNOWN,19A,5f8caab24274e5ad,XXXXXX4041
B1034,P1219,SJ179,2025-12-31 11:37:36.951,CONFIRMED,22F,1b087d0f5bacf046,XXXXXX0606
B1035,P1839,6F251,2025-08-21 11:37:36.951,PENDING,11D,515df1986ac9c285,XXXXXX1517
B1036,P1726,SJ149,2025-11-24 11:37:36.951,PENDING,5B,62c0931235a51f65,XXXXXX3647
B1037,P1220,AI188,2026-03-20 11:37:36.951,PENDING,33E,cad80fb4d6832287,XXXXXX5418
B1038,P1388,SJ093,2026-01-01 11:37:36.951,PENDING,12D,42e14d91691a1f01,XXXXXX6192
B1039,P1553,SJ205,2025-08-21 11:37:36.951,CONFIRMED,11E,a3e8613c889b8ef9,XXXXXX9854
B1040,P1646,6F099,2025-08-08 11:37:36.951,CONFIRMED,26B,c92ed7be3189863f,XXXXXX5230
B1041,P1041,UK176,2025-05-28 11:37:36.951,CONFIRMED,25C,ca46d489b5dffaa4,XXXXXX6035
B1042,P1675,UK200,2025-12-02 11:37:36.951,CANCELLED,24F,28cbb36068441453,XXXXXX5890
B1043,P1872,6F195,2025-11-22 11:37:36.951,CANCELLED,8E,6ce6ff5d2f67295a,XXXXXX1388
B1044,P1282,6F174,2026-04-12 11:37:36.951,PENDING,16C,a881da1c3c0454f4,XXXXXX0954
B1045,P1057,SJ214,2026-03-19 11:37:36.951,UNKNOWN,18C,cad71ae76c949305,XXXXXX3432
B1046,P1813,UK059,2025-10-14 11:37:36.951,CONFIRMED,2C,005bf737508b5fff,XXXXXX1874
B1047,P1833,6F151,2025-12-29 11:37:36.951,PENDING,7C,cc61752ca32ab349,XXXXXX4608
B1048,P1536,SJ236,2025-09-19 11:37:36.951,PENDING,18C,f87e072dddaa4e3c,XXXXXX4278
B1049,P1072,SJ153,2025-07-28 11:37:36.951,UNKNOWN,3C,831eda90fc69e23c,XXXXXX3067
B1050,P1884,AI220,2026-01-15 11:37:36.951,PENDING,7D,2ef08028f6e5c626,XXXXXX4482
B1051,P1922,6F028,2025-07-05 11:37:36.951,CANCELLED,16A,36eae9d29fd38309,XXXXXX6443
B1052,P1128,UK209,2025-12-30 11:37:36.951,CANCELLED,33B,9af21435b26fb675,XXXXXX6326
B1053,P1598,UK216,2026-04-01 11:37:36.951,PENDING,28B,e3a949cd694a2133,XXXXXX5009
B1054,P1841,AI132,2026-04-11 11:37:36.951,CANCELLED,19C,4992731100a577d4,XXXXXX8191
B1055,P1425,6F012,2025-10-14 11:37:36.951,CANCELLED,13F,555663ac2360829f,XXXXXX7684
B1056,P1947,UK173,2026-03-24 11:37:36.951,CANCELLED,15B,2f797db389f130dc,XXXXXX6381
B1057,P1664,SJ047,2025-08-20 11:37:36.951,CANCELLED,14F,75cefbec66047960,XXXXXX4263
B1058,P1693,SJ043,2025-12-07 11:37:36.951,PENDING,8C,767faf10f6b84149,XXXXXX4081
B1059,P1124,UK140,2026-01-03 11:37:36.951,CONFIRMED,23B,35e021da44f853f9,XXXXXX0433
